# cadence BJD stars_used sigma X_0 X_x X_y X_xx X_xy X_yy Y_0 Y_x Y_y Y_xx Y_xy Y_yy
125306 2457502.38384 895 0.0679 2.7313906091e+05 -1.0899592927e+03 1.6946214618e+03 2.0888739007e-01 -7.1035179348e+00 -2.6701973384e-01 1.6498226259e+05 -1.6113934381e+03 -1.1889450429e+03 3.3779713431e+00 1.0077693507e+00 -6.5234438297e-01
125307 2457502.40428 1419 0.0727 2.7864199852e+05 -1.1267531835e+03 1.7341508919e+03 2.7120149386e-01 -7.2198370863e+00 -1.1866630161e-01 1.5936354191e+05 -1.5651950429e+03 -1.1446427635e+03 3.2882258011e+00 9.2784917470e-01 -2.3915254003e-01
125309 2457502.44515 1137 0.0722 2.8345864486e+05 -1.1580576138e+03 1.7774162585e+03 3.2317247545e-01 -7.3387978770e+00 8.4331614931e-02 1.5956535173e+05 -1.5667292704e+03 -1.1448396264e+03 3.2913817159e+00 9.3326537732e-01 -2.1649623376e-01
125310 2457502.46559 1067 0.0752 2.8636938567e+05 -1.1762705847e+03 1.8103787433e+03 3.5068584376e-01 -7.4609596560e+00 8.5042777761e-02 1.6245052936e+05 -1.5887788149e+03 -1.1509886656e+03 3.3326375161e+00 9.3967792133e-01 -2.9695095955e-01
125311 2457502.48602 1291 0.0748 2.8295353672e+05 -1.1529999940e+03 1.7901999861e+03 3.1120952629e-01 -7.3891050018e+00 7.0860410001e-02 1.6130348184e+05 -1.5800706129e+03 -1.1490134919e+03 3.3162600928e+00 9.3515144501e-01 -2.8315565107e-01
125312 2457502.50645 1116 0.0830 2.7938337424e+05 -1.1414742117e+03 1.6437870834e+03 3.1011082285e-01 -6.9920967739e+00 -6.4432915932e-01 1.5528906055e+05 -1.5392414921e+03 -1.1867471022e+03 3.2462185713e+00 1.0489822899e+00 -4.0976163689e-01
125313 2457502.52689 1377 0.0721 2.7838142323e+05 -1.1284744424e+03 1.6982693345e+03 2.7707749879e-01 -7.1667986777e+00 -5.1041173476e-01 1.5591773286e+05 -1.5437070592e+03 -1.1848098557e+03 3.2541982950e+00 1.0430235119e+00 -4.0404540193e-01
125314 2457502.54733 1270 0.0723 2.8083827467e+05 -1.1467573971e+03 1.6977195717e+03 3.1084359361e-01 -7.1695797165e+00 -5.3382302105e-01 1.5715490033e+05 -1.5522768618e+03 -1.1788176237e+03 3.2693541721e+00 1.0283988441e+00 -3.6702552703e-01
125315 2457502.56776 1227 0.0726 2.7819061106e+05 -1.1269470654e+03 1.6996216411e+03 2.7503246045e-01 -7.1522300039e+00 -4.1385474419e-01 1.5734667190e+05 -1.5522646280e+03 -1.1646621587e+03 3.2674270696e+00 9.9064417182e-01 -2.9517597136e-01
125316 2457502.58820 1391 0.0712 2.8056100810e+05 -1.1420600715e+03 1.7237097281e+03 2.9965110513e-01 -7.2186823004e+00 -3.0213743485e-01 1.5862283443e+05 -1.5602013883e+03 -1.1495836382e+03 3.2803853226e+00 9.5578851885e-01 -1.9210409980e-01
